number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,user_attrs_mape,user_attrs_mda,state,mda,mape,best_iteration
19,0.12222222222222223,04:23.3,04:28.4,0 days 00:00:05.098221,0.5540685111412167,0.17771986659368127,12,33,1731,51,0.03149403720088413,2.455918006464903e-08,0.671866595662659,219,0.003306116380471876,0.8777777777777778,COMPLETE,0.8777777777777778,0.003306116380471876,219
20,0.0888888888888889,04:28.4,04:30.0,0 days 00:00:01.685256,0.6597273311745191,0.07877041521959989,5,97,1049,140,1.2722974438529106e-08,0.028214456422822446,0.9192935333529578,89,0.0034984670051838476,0.9111111111111111,COMPLETE,0.9111111111111111,0.0034984670051838476,89
21,0.033333333333333326,04:30.0,04:35.7,0 days 00:00:05.659430,0.7523571380476008,0.05529786646969247,7,17,1209,201,0.7889902890503059,4.624047915938878,0.7773720501290479,270,0.0020187943747470506,0.9666666666666667,COMPLETE,0.9666666666666667,0.0020187943747470506,270
22,0.1333333333333333,04:35.7,04:41.6,0 days 00:00:05.881252,0.9258098874802065,0.09044969777292018,8,28,1133,122,0.35105887447955236,0.06527043795945993,0.937476275510738,213,0.0027833550514034353,0.8666666666666667,COMPLETE,0.8666666666666667,0.0027833550514034353,213
23,0.033333333333333326,04:41.6,04:47.4,0 days 00:00:05.802457,0.5028969328823933,0.04960227722941243,5,44,866,41,4.130867764433537,0.0012660121517462433,0.9975247694144274,580,0.0023693004709151116,0.9666666666666667,COMPLETE,0.9666666666666667,0.0023693004709151116,580
24,0.06666666666666665,04:47.4,04:55.5,0 days 00:00:08.093711,0.5708123959337652,0.07185412765038134,7,15,596,99,0.011208775338397299,1.8523152554240117,0.8598307706331794,495,0.001995152161773456,0.9333333333333333,COMPLETE,0.9333333333333333,0.001995152161773456,495
25,0.12222222222222223,04:55.5,05:14.3,0 days 00:00:18.848151,0.9349484966530826,0.019194309163804466,10,27,1382,156,2.404860133689969,1.8600510981738537e-07,0.7246959009207872,332,0.003095230964050221,0.8777777777777778,COMPLETE,0.8777777777777778,0.003095230964050221,332
26,0.05555555555555558,05:14.3,05:16.1,0 days 00:00:01.793069,0.8033123998272323,0.15850121616618734,4,40,1127,239,0.14095422625146456,0.00012937517960662337,0.8735846489454148,90,0.0019087654104737145,0.9444444444444444,COMPLETE,0.9444444444444444,0.0019087654104737145,90
27,0.1444444444444445,05:16.1,05:25.6,0 days 00:00:09.474410,0.6282315489756138,0.033486688836412405,8,13,882,187,8.413245399375432e-06,0.06683654564799847,0.7858925152837152,177,0.003123317495385434,0.8555555555555555,COMPLETE,0.8555555555555555,0.003123317495385434,177
28,0.033333333333333326,05:25.6,05:28.0,0 days 00:00:02.442085,0.7215514614076,0.09905806655974812,6,49,1329,82,0.0010530482857030587,0.6369435376952177,0.706006958613894,105,0.002473644740822951,0.9666666666666667,COMPLETE,0.9666666666666667,0.002473644740822951,105
