列ID,列名,分组,是否核心因子,有效样本数,均值
ID01208159,铁矿石：进口：247家钢铁企业：库存消费比：华北地区发货地：明细（周度）,标的(Y变量),否,2302,24.426247
ID01208161,铁矿石：进口：247家钢铁企业：库存消费比：华南地区发货地：明细（周度）,标的(Y变量),否,2301,50.236754
ID01208163,铁矿石：进口：247家钢铁企业：库存消费比：华东地区发货地：明细（周度）,标的(Y变量),否,2297,30.891014
ID01208165,铁矿石：进口：247家钢铁企业：厂内库存：华南地区发货地：明细（周度）,标的(Y变量),否,2295,575.890192
ID01208166,铁矿石：进口：247家钢铁企业：库存：长江沿江地区发货地：明细（周度）,标的(Y变量),否,2296,3211.611193
ID01208167,铁矿石：进口：247家钢铁企业：库存：华南地区发货地：明细（周度）,标的(Y变量),否,2296,1529.032404
ID01208169,铁矿石：进口：247家钢铁企业：库存消费比：长江沿江地区发货地：明细（周度）,标的(Y变量),否,2297,41.189238
ID01244893,烧结矿：入炉品位：114家钢铁企业（周度）,供需-配比,否,1799,55.449205
ID01244894,球团矿：入炉比：114家钢铁企业（周度）,供需-配比,否,1812,15.698328
ID01244895,烧结矿：入炉比：114家钢铁企业（周度）,供需-配比,否,1810,73.611387
ID01244896,烧结矿：进口：配比：114家钢铁企业（周度）,供需-配比,否,1813,83.543431
ID01244897,烧结用矿粉：进口：库存：114家钢铁企业（周度）,标的(Y变量),否,1814,2850.172988
ID01244899,块矿：入炉比：114家钢铁企业（周度）,供需-配比,否,1813,10.694197
ID01452315,铁矿石：进口：247家钢铁企业：库存：明细（周度）,标的(Y变量),否,2301,9978.812451
ID01452317,铁矿石：进口：247家钢铁企业：厂内库存消费比：华东地区发货地：明细（周度）,标的(Y变量),否,2296,11.758894
ID01452318,铁矿石：进口：247家钢铁企业：厂内库存消费比：华南地区发货地：明细（周度）,标的(Y变量),否,2302,18.651842
ID01452320,铁矿石：进口：247家钢铁企业：厂内库存消费比：华北地区发货地：明细（周度）,标的(Y变量),否,2298,9.266349
ID01452321,铁矿石：进口：247家钢铁企业：发货地：厂内库存消费比：明细（周度）,标的(Y变量),否,2300,13.004787
ID01452323,铁矿石：进口：247家钢铁企业：厂内库存消费比：长江沿江地区发货地：明细（周度）,标的(Y变量),否,2300,16.974335
ID01512787,铁矿石：进口：日均疏港量合计：47个港口（周度）,需求-疏港,是,1593,322.543671
ID01514830,铁矿石：港口库存：华东地区：岚山港：明细（周度）,标的(Y变量),否,3208,403.063881
ID01514831,铁矿石：港口库存：华东地区：连云港：明细（周度）,标的(Y变量),否,3212,639.533216
ID01514841,铁矿石：港口库存：华东地区：岚桥港：明细（周度）,标的(Y变量),否,3224,536.927754
ID01514885,铁矿石：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3211,488.446472
ID01514898,主流高品巴西粉：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3218,31.470103
ID01514908,铁矿石：港口库存：华北地区：天津港：明细（周度）,标的(Y变量),否,3209,876.833481
ID01514913,铁矿石：港口库存：华北地区：京唐港：明细（周度）,标的(Y变量),否,3218,1307.786746
ID01514919,铁矿石：港口库存：华北地区：黄骅港：明细（周度）,标的(Y变量),否,3221,286.572158
ID01514929,铁矿石：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3216,1526.257786
ID01514937,主流高品巴西粉：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3213,193.689511
ID01514945,铁矿石：港口库存：华东地区：日照港：明细（周度）,标的(Y变量),否,3212,1530.441389
ID01514950,铁矿石：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3235,2100.636560
ID01514959,主流高品巴西粉：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3217,538.770762
ID01514961,铁矿石：港口库存：15个港口：明细（周度）,标的(Y变量),否,3218,10457.838906
ID01515074,块矿：中高品位：60%Fe以上：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3212,56.553571
ID01515125,块矿：中高品位：60%Fe以上：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3211,172.705185
ID01515145,块矿：中高品位：60%Fe以上：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3214,157.220513
ID01515202,铁矿石：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,1947,0.000000
ID01515223,铁矿石：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,1928,883.921131
ID01515243,铁矿石：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,1932,1455.807391
ID01515442,铁精粉：港口库存：华东地区：岚山港：明细（周度）,标的(Y变量),否,3216,90.205354
ID01515453,其他精粉：港口库存：澳大利亚联邦→华东地区：岚山港：明细（周度）,标的(Y变量),否,3202,10.955381
ID01515454,铁精粉：港口库存：南非共和国→华东地区：岚山港：明细（周度）,标的(Y变量),否,3231,1.805175
ID01515456,铁精粉：港口库存：巴西联邦共和国→华东地区：岚山港：明细（周度）,标的(Y变量),否,3222,9.926511
ID01515627,铁精粉：港口库存：智利共和国→中华人民共和国：15个港口：明细（周度）,标的(Y变量),否,3212,122.856958
ID01515629,铁精粉：港口库存：巴西联邦共和国→中华人民共和国：15个港口：明细（周度）,标的(Y变量),否,3216,127.958657
ID01515636,铁精粉：港口库存：乌克兰→中华人民共和国：15个港口：明细（周度）,标的(Y变量),否,3213,129.612288
ID01515647,卡拉拉精粉：港口库存：15个港口：明细（周度）,标的(Y变量),否,3217,28.963015
ID01515664,乌克兰球团：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,3235,0.000000
ID01515676,乌克兰球团：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,3219,5.122476
ID01515940,巴混（BRBF）：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,3242,0.000000
ID01515941,PB粉：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,3242,0.000000
ID01515947,金布巴粉：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,3242,0.000000
ID01515948,麦克粉：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,3242,0.000000
ID01515950,乌克兰球团：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,3242,0.000000
ID01515951,印度球团：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,3242,0.000000
ID01515962,超特粉：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,3242,0.000000
ID01515968,纽曼粉：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,3242,0.000000
ID01515972,FMG混合粉：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),是,3242,0.000000
ID01515973,纽曼块：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,3242,0.000000
ID01515975,PB块：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,3242,0.000000
ID01516068,麦克粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,3215,32.995446
ID01516075,金布巴粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,3206,52.273771
ID01516080,PB粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,3214,87.879810
ID01516081,巴混（BRBF）：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,3205,30.529766
ID01516083,PB块：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,3212,11.361236
ID01516086,纽曼块：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,3211,63.234055
ID01516092,纽曼粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,3210,30.973477
ID01516098,FMG混合粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),是,3210,40.082274
ID01516102,超特粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,3212,108.098857
ID01516105,印度球团：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,3211,20.719785
ID01516131,PB粉：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,3219,108.771398
ID01516133,纽曼粉：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,3209,9.224378
ID01516137,麦克粉：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,3206,11.059239
ID01516144,金布巴粉：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,3218,26.927181
ID01516147,巴混（BRBF）：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,3209,17.650904
ID01516151,印度球团：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,3217,14.433942
ID01516155,PB块：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,3218,48.971886
ID01516157,超特粉：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,3212,103.328204
ID01516158,纽曼块：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,3212,17.779474
ID01516175,FMG混合粉：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),是,3207,36.894344
ID01516397,纽曼块：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3212,16.504253
ID01516399,澳洲块矿：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3209,63.556818
ID01516488,澳洲块矿：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3213,180.725994
ID01516509,纽曼块：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3212,91.391018
ID01516540,澳洲块矿：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3226,160.766367
ID01516542,纽曼块：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3219,28.717450
ID01516562,纽曼块：港口库存：15个港口：明细（周度）,标的(Y变量),否,3211,375.875241
ID01516569,块矿：港口库存：15个港口：明细（周度）,标的(Y变量),否,3216,1664.205569
ID01516574,巴西块矿：港口库存：15个港口：明细（周度）,标的(Y变量),否,3213,220.377479
ID01516577,PB块：港口库存：15个港口：明细（周度）,标的(Y变量),否,3210,281.867991
ID01516871,麦克粉：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3217,11.795107
ID01516882,金布巴粉：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3213,15.362179
ID01516884,纽曼粉：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3220,11.268165
ID01516886,FMG混合粉：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),是,3208,9.933108
ID01516898,巴混（BRBF）：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3213,13.582387
ID01517013,金布巴粉：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3210,67.322321
ID01517019,麦克粉：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3214,48.201475
ID01517021,纽曼粉：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3219,44.335713
ID01517032,FMG混合粉：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),是,3214,49.321434
ID01517033,巴混（BRBF）：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3205,33.321766
ID01517084,麦克粉：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3209,21.710545
ID01517086,金布巴粉：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3221,40.195598
ID01517105,纽曼粉：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3212,16.392989
ID01517108,FMG混合粉：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),是,3216,48.809705
ID01517115,超特粉：港口库存：15个港口：明细（周度）,标的(Y变量),否,3218,602.819748
ID01517122,纽曼粉：港口库存：15个港口：明细（周度）,标的(Y变量),否,3217,247.709649
ID01517123,高硅巴粗：港口库存：15个港口：明细（周度）,标的(Y变量),否,3212,634.149751
ID01517125,巴混（BRBF）：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3211,19.047101
ID01517134,FMG混合粉：港口库存：15个港口：明细（周度）,标的(Y变量),是,3222,399.025354
ID01517146,巴混（BRBF）：港口库存：15个港口：明细（周度）,标的(Y变量),否,3212,159.215115
ID01517147,粉矿：港口库存：15个港口：明细（周度）,标的(Y变量),否,3216,7617.201536
ID01517148,金布巴粉：港口库存：15个港口：明细（周度）,标的(Y变量),否,3218,391.914074
ID01517151,麦克粉：港口库存：15个港口：明细（周度）,标的(Y变量),否,3213,258.266670
ID01517154,托克粉：港口库存：15个港口：明细（周度）,标的(Y变量),否,3209,59.794157
ID01517161,PB粉：港口库存：15个港口：明细（周度）,标的(Y变量),否,3217,898.191237
ID01517190,卡拉加斯粉：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),否,3242,0.000000
ID01517201,卡拉加斯粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),否,3219,117.333116
ID01517207,卡拉加斯粉：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),否,3221,470.118016
ID01517209,卡拉加斯粉：港口库存：15个港口：钢铁企业：明细（周度）,标的(Y变量),否,3212,131.215159
ID01517210,卡拉加斯粉：港口库存：15个港口：贸易商：明细（周度）,标的(Y变量),否,3219,817.762336
ID01517227,卡拉加斯粉：港口库存：15个港口：明细（周度）,标的(Y变量),否,3217,1053.907777
ID01529790,液态铁：产能利用率：陕西省（周度）,需求-开工率,否,3314,86.674493
ID01529795,液态铁：限产影响日均产量：陕西省（周度）,供应-产量,否,3333,0.154314
ID01529799,液态铁：日均产量：陕西省（周度）,供应-产量,否,3315,2.571529
ID01529803,液态铁：停产影响日均产量：陕西省（周度）,供应-产量,否,3313,0.282741
ID01529813,高炉：开工率：陕西省（周度）,需求-开工率,否,2631,88.841087
ID01529831,液态铁：日均产量：湖北省（周度）,供应-产量,否,3307,6.809737
ID01529835,液态铁：停产影响日均产量：湖北省（周度）,供应-产量,否,3309,0.521324
ID01529839,液态铁：限产影响日均产量：湖北省（周度）,供应-产量,否,3324,0.281610
ID01529843,液态铁：产能利用率：湖北省（周度）,需求-开工率,否,3314,93.425727
ID01529844,高炉：开工率：湖北省（周度）,需求-开工率,否,2637,93.811111
ID01529850,高炉：开工率：河南省（周度）,需求-开工率,否,2661,79.779684
ID01529851,液态铁：限产影响日均产量：河南省（周度）,供应-产量,否,3326,0.377679
ID01529855,液态铁：日均产量：河南省（周度）,供应-产量,否,3327,7.068458
ID01529856,液态铁：限产影响日均产量：河北省（周度）,供应-产量,否,3330,1.362706
ID01529857,液态铁：产能利用率：河南省（周度）,需求-开工率,否,3328,79.176587
ID01529858,高炉：开工率：河北省（周度）,需求-开工率,否,2667,75.507848
ID01529859,高炉：开工率：江西省（周度）,需求-开工率,否,2675,96.695327
ID01529860,液态铁：产能利用率：江苏省（周度）,需求-开工率,否,3325,91.504583
ID01529861,液态铁：限产影响日均产量：江西省（周度）,供应-产量,否,3336,0.167500
ID01529862,液态铁：停产影响日均产量：河北省（周度）,供应-产量,否,3338,12.515542
ID01529863,液态铁：限产影响日均产量：江苏省（周度）,供应-产量,否,3320,0.719581
ID01529864,液态铁：日均产量：江西省（周度）,供应-产量,否,3331,6.226151
ID01529866,液态铁：日均产量：河北省（周度）,供应-产量,否,3332,55.086218
ID01529867,液态铁：产能利用率：河北省（周度）,需求-开工率,否,3330,84.982117
ID01529869,液态铁：产能利用率：江西省（周度）,需求-开工率,否,3331,94.493660
ID01529872,液态铁：日均产量：江苏省（周度）,供应-产量,否,3327,27.221981
ID01529873,高炉：开工率：江苏省（周度）,需求-开工率,否,2658,87.971362
ID01529874,液态铁：停产影响日均产量：江西省（周度）,供应-产量,否,3318,0.178764
ID01529878,液态铁：停产影响日均产量：江苏省（周度）,供应-产量,否,3321,2.735513
ID01529893,高炉：开工率：山西省（周度）,需求-开工率,否,2675,81.863121
ID01529895,高炉：开工率：山东省（周度）,需求-开工率,否,2661,76.116941
ID01529896,液态铁：限产影响日均产量：山西省（周度）,供应-产量,否,3332,0.317695
ID01529897,液态铁：停产影响日均产量：山西省（周度）,供应-产量,否,3346,2.391686
ID01529898,液态铁：日均产量：山西省（周度）,供应-产量,否,3327,14.461280
ID01529899,液态铁：产能利用率：山西省（周度）,需求-开工率,否,3327,84.778133
ID01529902,液态铁：产能利用率：山东省（周度）,需求-开工率,否,3322,77.242538
ID01529903,液态铁：日均产量：山东省（周度）,供应-产量,否,3324,19.057693
ID01529904,高炉：开工率：安徽省（周度）,需求-开工率,否,2659,88.763388
ID01529905,液态铁：限产影响日均产量：安徽省（周度）,供应-产量,否,3327,0.000000
ID01529906,液态铁：产能利用率：安徽省（周度）,需求-开工率,否,3320,95.744669
ID01529909,液态铁：停产影响日均产量：安徽省（周度）,供应-产量,否,3316,0.638414
ID01529911,液态铁：日均产量：安徽省（周度）,供应-产量,否,3317,7.878818
ID01529931,高炉：开工率：内蒙古自治区（周度）,需求-开工率,否,2658,82.284330
ID01529932,液态铁：限产影响日均产量：内蒙古自治区（周度）,供应-产量,否,3320,0.318205
ID01529940,液态铁：停产影响日均产量：内蒙古自治区（周度）,供应-产量,否,3316,0.785558
ID01529941,液态铁：日均产量：内蒙古自治区（周度）,供应-产量,否,3324,6.279898
ID01529956,液态铁：产能利用率：内蒙古自治区（周度）,需求-开工率,否,3324,86.332064
ID01529972,高炉：开工率：华北地区（周度）,需求-开工率,否,2673,76.044153
ID01529973,液态铁：限产影响日均产量：华北地区（周度）,供应-产量,否,3334,2.380567
ID01529974,液态铁：停产影响日均产量：华北地区（周度）,供应-产量,否,3341,19.544083
ID01529975,液态铁：日均产量：华北地区（周度）,供应-产量,否,3330,87.865715
ID01529976,液态铁：产能利用率：华北地区（周度）,需求-开工率,否,3331,84.030042
ID01529986,高炉：开工率：华东地区（周度）,需求-开工率,否,2657,85.162939
ID01529987,液态铁：限产影响日均产量：华东地区（周度）,供应-产量,否,3322,2.450072
ID01529991,液态铁：停产影响日均产量：华东地区（周度）,供应-产量,否,3322,8.460084
ID01529995,液态铁：日均产量：华东地区（周度）,供应-产量,否,3322,69.660578
ID01529996,液态铁：产能利用率：华东地区（周度）,需求-开工率,否,3323,87.361186
ID01562183,粉矿：到港量：47个港口：明细（周度）,供应-到港,否,1940,1255.815670
ID01562207,块矿：到港量：47个港口：明细（周度）,供应-到港,否,1934,289.272234
ID01562208,铁精粉：62%Fe以上：到港量：47个港口：明细（周度）,供应-到港,否,1936,86.106921
ID01562238,球团矿：62%Fe以上：到港量：47个港口：明细（周度）,供应-到港,否,1924,0.000000
ID01562367,纽曼块：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,1938,136.485552
ID01562375,金布巴粉：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,1939,94.437855
ID01562377,纽曼粉：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,1939,97.159360
ID01562379,麦克粉：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,1936,120.786364
ID01562389,超特粉：到港量：47个港口：福蒂斯丘金属集团：明细（周度）,供应-到港,否,1939,129.186385
ID01562393,CSN粗粉：到港量：47个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度）,供应-到港,否,1935,46.611680
ID01562395,CSN精粉：到港量：47个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度）,供应-到港,否,1935,4.251318
ID01562396,PB块：到港量：47个港口：力拓集团：明细（周度）,供应-到港,是,1941,121.954920
ID01562397,PB粉：到港量：47个港口：力拓集团：明细（周度）,供应-到港,是,1940,264.354124
ID01562398,卡拉加斯粉：到港量：47个港口：巴西淡水河谷公司：明细（周度）,供应-到港,是,1934,242.888314
ID01565061,铁矿石：到港量：47个港口（周度）,供应-到港,否,1576,2468.653173
ID01841222,铁桥精粉：预计到港量：中国港口：福蒂斯丘金属集团：明细（周度）,供应-到港,否,706,11.438102
ID02017485,铁矿石：进口：日均疏港量：长江沿江地区：45个港口（周度）,标的(Y变量),是,3756,64.488685
ID02017503,铁矿石：进口：日均疏港量：华北地区：45个港口（周度）,标的(Y变量),是,3748,93.761443
ID02017509,铁矿石：进口：日均疏港量：华南地区：45个港口（周度）,标的(Y变量),是,3756,25.839776
ID02017513,铁矿石：进口：日均疏港量：华东地区：45个港口（周度）,标的(Y变量),是,3752,92.663833
ID02017521,铁矿石：进口：日均疏港量：长江沿江地区：41个港口（周度）,需求-疏港,是,3756,63.614252
ID02017522,铁矿石：进口：日均疏港量：东北地区：45个港口（周度）,标的(Y变量),是,3757,17.987349
ID02017530,铁矿石：进口：日均疏港量：华南地区：41个港口（周度）,需求-疏港,是,3756,25.834438
ID02017543,铁矿石：进口：库存：华北地区：41个港口（周度）,标的(Y变量),否,3756,4146.793357
ID02017548,铁矿石：进口：日均疏港量：华东地区：41个港口（周度）,需求-疏港,是,3752,85.283977
ID02017551,铁矿石：进口：日均疏港量：华北地区：41个港口（周度）,需求-疏港,是,3748,93.761443
ID02017554,铁矿石：进口：日均疏港量：东北地区：41个港口（周度）,需求-疏港,是,3757,17.987349
ID02017568,铁矿石：进口：日均疏港量：长江沿江地区：31个港口（周度）,需求-疏港,是,3749,51.545412
ID02017574,铁矿石：进口：日均疏港量：华北地区：31个港口（周度）,需求-疏港,是,3742,81.490909
ID02017581,铁矿石：进口：日均疏港量：华东地区：31个港口（周度）,需求-疏港,是,3755,84.336746
ID02017587,铁矿石：进口：日均疏港量：华南地区：31个港口（周度）,需求-疏港,是,3755,25.205862
ID02017594,铁矿石：进口：日均疏港量：东北地区：31个港口（周度）,需求-疏港,是,3757,16.642577
ID02039104,澳洲&巴西铁矿石：发货量（周度）,供应-发货量,否,2491,2490.060136
ID02039109,铁矿石：澳大利亚联邦产区：发货量：澳大利亚联邦→中华人民共和国（周度）,供应-发货量,否,2209,1509.109190
ID02049116,巴粗（IOC6）：港口库存：15个港口：明细（周度）,标的(Y变量),否,1209,80.542142
ID02049353,铁精粉：高品位：64%Fe以上：港口库存：华东地区：岚山港：明细（周度）,标的(Y变量),否,1207,117.887100
ID02049409,块矿：中高品位：60-64%Fe：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,1209,42.640604
ID02049413,块矿：中高品位：60-64%Fe：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,1207,149.495336
ID02049417,块矿：中高品位：60-64%Fe：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,1206,159.761642
ID02226562,CSN块：到港量：45个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度）,标的(Y变量),是,188,4.293085
ID02226563,CSN块：到港量：47个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度）,供应-到港,否,187,4.575401
ID02338936,粉矿：压港量：45个港口：明细（周度）,标的(Y变量),是,1211,974.893972
ID02338942,块矿：压港量：45个港口：明细（周度）,标的(Y变量),是,1206,238.293532
ID02338946,铁精粉：62%Fe以上：压港量：45个港口：明细（周度）,标的(Y变量),是,1208,68.123179
ID02338956,球团矿：62%Fe以上：压港量：45个港口：明细（周度）,标的(Y变量),是,1211,0.000000
ID02339469,大杨迪粉：压港量：45个港口：力拓集团：明细（周度）,标的(Y变量),是,1204,14.458472
ID02339576,金布巴粉：压港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,是,1206,12.404892
ID02339577,麦克粉：压港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,是,1207,12.763960
ID02339580,FMG混合粉：压港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）,供应-矿山,是,1209,9.043342
ID02339582,纽曼粉：压港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,是,1210,9.759587
ID02339583,超特粉：压港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）,供需-海漂压港,否,1210,10.107190
ID02339599,PB粉：压港量：曹妃甸港：力拓集团：明细（周度）,供应-矿山,是,1208,17.726325
ID02339602,PB块：压港量：曹妃甸港：力拓集团：明细（周度）,供应-矿山,是,1207,6.777713
ID02339619,卡拉加斯粉：压港量：曹妃甸港：巴西淡水河谷公司：明细（周度）,供应-矿山,是,1210,29.598512
ID02339970,金布巴粉：压港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,是,1204,0.000000
ID02339971,麦克粉：压港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,是,1207,0.000000
ID02339973,超特粉：压港量：江阴港：福蒂斯丘金属集团：明细（周度）,供需-海漂压港,否,1207,1.077796
ID02339982,纽曼粉：压港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,是,1212,0.000000
ID02339984,FMG混合粉：压港量：江阴港：福蒂斯丘金属集团：明细（周度）,供应-矿山,是,1205,1.176929
ID02339994,PB粉：压港量：江阴港：力拓集团：明细（周度）,供应-矿山,是,1207,2.112013
ID02339997,PB块：压港量：江阴港：力拓集团：明细（周度）,供应-矿山,是,1202,1.341847
ID02340003,卡拉加斯粉：压港量：江阴港：巴西淡水河谷公司：明细（周度）,供应-矿山,是,1203,0.000000
ID02340764,麦克粉：压港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,是,1202,3.288103
ID02340765,金布巴粉：压港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,是,1210,3.195289
ID02340766,纽曼粉：压港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,是,1211,2.412139
ID02340770,超特粉：压港量：青岛港：福蒂斯丘金属集团：明细（周度）,供需-海漂压港,否,1207,8.329329
ID02340771,FMG混合粉：压港量：青岛港：福蒂斯丘金属集团：明细（周度）,供应-矿山,是,1205,6.636929
ID02340780,PB块：压港量：青岛港：力拓集团：明细（周度）,供应-矿山,是,1209,10.765178
ID02340784,PB粉：压港量：青岛港：力拓集团：明细（周度）,供应-矿山,是,1206,18.481012
ID02340800,卡拉加斯粉：压港量：青岛港：巴西淡水河谷公司：明细（周度）,供应-矿山,是,1212,32.902888
ID02341636,铁矿石：压港量：曹妃甸港：巴西联邦共和国：明细（周度）,供应-矿山,否,1207,61.417150
ID02341638,铁矿石：压港量：曹妃甸港：澳大利亚联邦：明细（周度）,价格-矿石价格,否,1208,128.400414
ID02341870,铁矿石：压港量：江阴港：巴西联邦共和国：明细（周度）,供应-矿山,否,1209,3.069644
ID02341871,铁矿石：压港量：江阴港：澳大利亚联邦：明细（周度）,价格-矿石价格,否,1207,14.275891
ID02342020,铁矿石：压港量：岚山港：乌克兰：明细（周度）,价格-矿石价格,否,1207,4.776636
ID02342335,铁矿石：压港量：青岛港：巴西联邦共和国：明细（周度）,供应-矿山,否,1209,62.533251
ID02342343,铁矿石：压港量：青岛港：澳大利亚联邦：明细（周度）,价格-矿石价格,否,1206,75.509536
ID02342745,铁矿石：压港量：45个港口：明细（周度）,标的(Y变量),是,1210,1624.674711
IO_SHIP_EST_AUS_017,铁矿石全球非主流矿山发运至中国发运,供应-发运,否,2206,790.974416
IO_SHIP_EST_GLOB_006,铁矿石全球发至中国总量,价格-矿石价格,否,2203,2436.161821
IO_SHIP_RATE_BRA_CN_029,铁矿石淡水河谷发中国比例,供应-矿山,是,2298,0.653345
IO_SHIP_VOL_CTF_004,铁矿石全球发运超特粉发运比例,供应-发运,否,2006,0.044228
