列ID,列名,分组,是否核心因子,有效样本数,均值
ID00183109,247家钢铁企业：高炉开工率：中华人民共和国（周度）,需求-开工率,是,3769,82.767519
ID00183114,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）,需求-开工率,是,3762,85.347164
ID00185754,铁矿石：澳大利亚联邦产区：发货量：丹皮尔港（周度）,供应-发货量,否,3749,270.522166
ID00185755,铁矿石：澳大利亚联邦产区：发货量：埃斯佩兰斯港（周度）,供应-发货量,否,3751,14.299086
ID00185756,铁矿石：澳大利亚联邦产区：发货量：杰拉尔顿港（周度）,供应-发货量,否,3618,7.231600
ID00185759,铁矿石：澳大利亚联邦产区：发货量：黑德兰港（周度）,供应-发货量,否,3758,987.754683
ID00185760,铁矿石：澳大利亚联邦产区：发货量：沃尔科特港（周度）,供应-发货量,否,3754,355.574694
ID00185761,铁矿石：澳大利亚联邦产区：发货量合计：14个港口（周度）,供应-发货量,否,3752,1591.234395
ID00185762,铁矿石：澳大利亚联邦产区：发货量：丹皮尔港→中华人民共和国（周度）,供应-发货量,否,3759,253.660787
ID00185764,铁矿石：澳大利亚联邦产区：发货量：杰拉尔顿港→中华人民共和国（周度）,供应-发货量,否,3615,5.474907
ID00185766,铁矿石：澳大利亚联邦产区：发货量：黑德兰港→中华人民共和国（周度）,供应-发货量,否,3758,850.487547
ID00185768,铁矿石：澳大利亚联邦产区：发货量：沃尔科特港→中华人民共和国（周度）,供应-发货量,否,3755,241.553262
ID00185769,铁矿石：澳大利亚联邦产区：发货量合计：14个港口：澳大利亚联邦→中华人民共和国（周度）,供应-发货量,否,3757,1339.888515
ID00185795,铁矿石：澳大利亚联邦产区：库存：41个港口（周度）,标的(Y变量),否,3759,6427.849558
ID00185799,铁矿石：澳大利亚联邦产区：库存：曹妃甸港（周度）,标的(Y变量),否,3754,826.926055
ID00185808,铁矿石：澳大利亚联邦产区：库存：江阴港（周度）,标的(Y变量),否,3752,237.906245
ID00185826,铁矿石：澳大利亚联邦产区：库存：青岛港（周度）,标的(Y变量),否,3755,688.106791
ID00185861,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）,标的(Y变量),是,3756,3999.188759
ID00185864,铁矿石：巴西联邦共和国产区：库存：曹妃甸港（周度）,标的(Y变量),否,3763,481.818623
ID00185873,铁矿石：巴西联邦共和国产区：库存：江阴港（周度）,标的(Y变量),否,3749,124.358514
ID00185891,铁矿石：巴西联邦共和国产区：库存：青岛港（周度）,标的(Y变量),否,3757,1042.201491
ID00185913,烧结用矿粉：国产：库存：南方大区：64家钢铁企业（周度）,标的(Y变量),否,3753,18.215689
ID00185914,烧结用矿粉：国产：库存：山东省：64家钢铁企业（周度）,标的(Y变量),否,3759,8.381277
ID00185915,烧结用矿粉：国产：库存：山西省：64家钢铁企业（周度）,标的(Y变量),否,3756,12.328232
ID00185916,烧结用矿粉：国产：库存：唐山市：64家钢铁企业（周度）,标的(Y变量),否,3753,27.421364
ID00185917,烧结用矿粉：国产：库存：长江沿江地区：64家钢铁企业（周度）,标的(Y变量),否,3753,4.462763
ID00185922,烧结用矿粉：国产：消耗量：64家钢铁企业（周度）,需求-消费,否,3759,7.452788
ID00185923,烧结用矿粉：国产：消耗量：邯郸、邢台：64家钢铁企业（周度）,需求-消费,否,3758,1.205748
ID00185924,烧结用矿粉：国产：消耗量：南方大区：64家钢铁企业（周度）,需求-消费,否,3760,1.326521
ID00185925,烧结用矿粉：国产：消耗量：山东省：64家钢铁企业（周度）,需求-消费,否,3740,0.808396
