列ID,列名,类型
ID01516886_lag_7,FMG混合粉：港口库存：长江沿江地区：江阴港：明细（周度）_lag7,factor
ID01516886_lag_14,FMG混合粉：港口库存：长江沿江地区：江阴港：明细（周度）_lag14,factor
ID01516886_lag_30,FMG混合粉：港口库存：长江沿江地区：江阴港：明细（周度）_lag30,factor
ID01516886_diff_1,FMG混合粉：港口库存：长江沿江地区：江阴港：明细（周度）_diff_1,factor
ID01516886_diff_7,FMG混合粉：港口库存：长江沿江地区：江阴港：明细（周度）_diff_7,factor
ID01205069_lag_1,PB块：到港量：曹妃甸港：力拓集团：明细（周度）_lag1,factor
ID01205069_diff_1,PB块：到港量：曹妃甸港：力拓集团：明细（周度）_diff_1,factor
ID01205069_diff_7,PB块：到港量：曹妃甸港：力拓集团：明细（周度）_diff_7,factor
ID01205069_pct_1,PB块：到港量：曹妃甸港：力拓集团：明细（周度）_pct_1,factor
ID00186103_lag_1,铁矿石：进口：日均疏港量：曹妃甸港（周度）_lag1,factor
ID00186103_lag_2,铁矿石：进口：日均疏港量：曹妃甸港（周度）_lag2,factor
ID00186103_lag_3,铁矿石：进口：日均疏港量：曹妃甸港（周度）_lag3,factor
ID00186103_lag_7,铁矿石：进口：日均疏港量：曹妃甸港（周度）_lag7,factor
ID00186103_lag_30,铁矿石：进口：日均疏港量：曹妃甸港（周度）_lag30,factor
ID00186103_diff_1,铁矿石：进口：日均疏港量：曹妃甸港（周度）_diff_1,factor
ID00186103_diff_7,铁矿石：进口：日均疏港量：曹妃甸港（周度）_diff_7,factor
ID00186103_pct_1,铁矿石：进口：日均疏港量：曹妃甸港（周度）_pct_1,factor
ID00186103_pct_7,铁矿石：进口：日均疏港量：曹妃甸港（周度）_pct_7,factor
ID00186491_lag_1,铁精粉：库存：45个港口（周度）_lag1,factor
ID00186491_diff_1,铁精粉：库存：45个港口（周度）_diff_1,factor
ID00186491_diff_7,铁精粉：库存：45个港口（周度）_diff_7,factor
ID00186491_pct_1,铁精粉：库存：45个港口（周度）_pct_1,factor
ID00186491_pct_7,铁精粉：库存：45个港口（周度）_pct_7,factor
