列ID,列名,类型
ID00185922_lag_30,烧结用矿粉：国产：消耗量：64家钢铁企业（周度）_lag30,factor
0d3672c8-272f-4c2a-bedf-fe3d44b8a214_lag_1,华东废钢铁日度铁水-废钢价差_lag1,factor
0d3672c8-272f-4c2a-bedf-fe3d44b8a214_lag_7,华东废钢铁日度铁水-废钢价差_lag7,factor
0d3672c8-272f-4c2a-bedf-fe3d44b8a214_lag_30,华东废钢铁日度铁水-废钢价差_lag30,factor
ID00185992_lag_1,烧结用矿粉：进口：消耗量：64家钢铁企业（周度）_lag1,factor
ID00186405_lag_7,126家矿山企业（266座矿山）：铁精粉：日均产量：中华人民共和国（周度）_lag7,factor
ID00186405_lag_30,126家矿山企业（266座矿山）：铁精粉：日均产量：中华人民共和国（周度）_lag30,factor
ID01529873_lag_1,高炉：开工率：江苏省（周度）_lag1,factor
ID01529860_lag_30,液态铁：产能利用率：江苏省（周度）_lag30,factor
ID01529843_lag_7,液态铁：产能利用率：湖北省（周度）_lag7,factor
ID01529843_lag_30,液态铁：产能利用率：湖北省（周度）_lag30,factor
S0029395_lag_1,安徽：产量：粗钢：当月值_lag1,factor
S0029395_lag_7,安徽：产量：粗钢：当月值_lag7,factor
S0029395_lag_30,安徽：产量：粗钢：当月值_lag30,factor
ID01562207_lag_1,块矿：到港量：47个港口：明细（周度）_lag1,factor
ID01204818_lag_7,铁矿石：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_lag7,factor
ID01204818_lag_30,铁矿石：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_lag30,factor
ID01529898_lag_1,液态铁：日均产量：山西省（周度）_lag1,factor
S0029416_lag_7,山东：产量：粗钢：当月值_lag7,factor
S0029514_lag_1,青海：产量：粗钢：当月值_lag1,factor
S0029514_lag_7,青海：产量：粗钢：当月值_lag7,factor
RE00034182_lag_1,卡拉加斯粉：发货量：巴西联邦共和国：明细（周度）_lag1,factor
RE00034182_lag_7,卡拉加斯粉：发货量：巴西联邦共和国：明细（周度）_lag7,factor
ID01529831_lag_1,液态铁：日均产量：湖北省（周度）_lag1,factor
ID01529831_lag_7,液态铁：日均产量：湖北省（周度）_lag7,factor
ID01529831_lag_30,液态铁：日均产量：湖北省（周度）_lag30,factor
ID01529903_lag_1,液态铁：日均产量：山东省（周度）_lag1,factor
S0063608_lag_7,宁夏：产量：生铁：当月值_lag7,factor
ID00186569_lag_1,铁矿石：船舶到港量：曹妃甸港（周度）_lag1,factor
ID00186569_lag_30,铁矿石：船舶到港量：曹妃甸港（周度）_lag30,factor
ID01529940_lag_1,液态铁：停产影响日均产量：内蒙古自治区（周度）_lag1,factor
ID01529940_lag_7,液态铁：停产影响日均产量：内蒙古自治区（周度）_lag7,factor
ID02039109_lag_1,铁矿石：澳大利亚联邦产区：发货量：澳大利亚联邦→中华人民共和国（周度）_lag1,factor
ID02039109_lag_30,铁矿石：澳大利亚联邦产区：发货量：澳大利亚联邦→中华人民共和国（周度）_lag30,factor
ID00409038_lag_1,铁矿石：澳大利亚联邦产区：发货量：19个港口（周度）_lag1,factor
ID00409038_lag_30,铁矿石：澳大利亚联邦产区：发货量：19个港口（周度）_lag30,factor
S5700062_lag_7,新交所：结算价：铁矿石(掉期)：当月_lag7,factor
S5700062_lag_30,新交所：结算价：铁矿石(掉期)：当月_lag30,factor
ID00186683_lag_7,铁矿石：加工量：福蒂斯丘金属集团（季度）_lag7,factor
S0063596_lag_30,湖北：产量：生铁：当月值_lag30,factor
ID01203957_lag_7,粉矿：62%Fe以上：到港量：青岛港：明细（周度）_lag7,factor
ID01529874_lag_1,液态铁：停产影响日均产量：江西省（周度）_lag1,factor
ID01529874_lag_30,液态铁：停产影响日均产量：江西省（周度）_lag30,factor
RE00035602_month_lag_1,超特粉：发货量：澳大利亚联邦：明细（月度）_lag1,factor
RE00035602_month_lag_30,超特粉：发货量：澳大利亚联邦：明细（月度）_lag30,factor
S0029668_lag_30,中国：房屋施工面积：累计值_lag30,factor
RE00034149_lag_30,PB块：预计到港量：澳大利亚联邦：明细（周度）_lag30,factor
C7937622_lag_1,中国：10年期国债期货隐含利率：主连_lag1,factor
ID01529839_lag_30,液态铁：限产影响日均产量：湖北省（周度）_lag30,factor
ID01529987_lag_1,液态铁：限产影响日均产量：华东地区（周度）_lag1,factor
ID01529987_lag_7,液态铁：限产影响日均产量：华东地区（周度）_lag7,factor
ID01529987_lag_30,液态铁：限产影响日均产量：华东地区（周度）_lag30,factor
ID01166976_lag_30,铁矿石：远期现货日均成交量（周度）_lag30,factor
ID01529855_lag_7,液态铁：日均产量：河南省（周度）_lag7,factor
ID01529855_lag_30,液态铁：日均产量：河南省（周度）_lag30,factor
RE00034103_lag_30,铁矿石：发货量：澳大利亚联邦：澳大利亚罗伊山矿业公司：明细（周度）_lag30,factor
ID01602635_lag_30,铁矿石：海漂量：全球（日度）_lag30,factor
S0029402_lag_1,福建：产量：粗钢：当月值_lag1,factor
S0029402_lag_7,福建：产量：粗钢：当月值_lag7,factor
S0029402_lag_30,福建：产量：粗钢：当月值_lag30,factor
ID01529896_lag_7,液态铁：限产影响日均产量：山西省（周度）_lag7,factor
ID01529896_lag_30,液态铁：限产影响日均产量：山西省（周度）_lag30,factor
ID00185759_lag_7,铁矿石：澳大利亚联邦产区：发货量：黑德兰港（周度）_lag7,factor
CM0000285625_lag_1,铁矿石：进口数量：巴西联邦共和国→中华人民共和国（月度）_lag1,factor
CM0000285625_lag_7,铁矿石：进口数量：巴西联邦共和国→中华人民共和国（月度）_lag7,factor
ID00185987_lag_1,烧结用矿粉：进口：库存：长江沿江地区：64家钢铁企业（周度）_lag1,factor
ID01517123_lag_1,高硅巴粗：港口库存：15个港口：明细（周度）_lag1,factor
ID01517201_lag_1,卡拉加斯粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）_lag1,factor
ID01517226_lag_1,卡拉加斯粉：港口库存：华东地区：青岛港：明细（周度）_lag1,factor
ID01516906_lag_1,PB粉：港口库存：长江沿江地区：江阴港：明细（周度）_lag1,factor
ID01516574_lag_1,巴西块矿：港口库存：15个港口：明细（周度）_lag1,factor
S0029658_lag_1,中国：商品房销售面积：累计值_lag1,factor
ID01517161_lag_1,PB粉：港口库存：15个港口：明细（周度）_lag1,factor
ID01207883_lag_1,铁矿石：进口：247家钢铁企业：厂内库存消费比：华中地区：明细（周度）_lag1,factor
ID01516418_lag_1,PB块：港口库存：长江沿江地区：江阴港：明细（周度）_lag1,factor
ID01517019_lag_1,麦克粉：港口库存：华北地区：曹妃甸港：明细（周度）_lag1,factor
ID01516873_lag_1,超特粉：港口库存：长江沿江地区：江阴港：明细（周度）_lag1,factor
ID00185913_lag_1,烧结用矿粉：国产：库存：南方大区：64家钢铁企业（周度）_lag1,factor
ID01517013_lag_1,金布巴粉：港口库存：华北地区：曹妃甸港：明细（周度）_lag1,factor
ID01516488_lag_1,澳洲块矿：港口库存：华北地区：曹妃甸港：明细（周度）_lag1,factor
ID01517122_lag_1,纽曼粉：港口库存：15个港口：明细（周度）_lag1,factor
ID01516562_lag_1,纽曼块：港口库存：15个港口：明细（周度）_lag1,factor
ID01517021_lag_1,纽曼粉：港口库存：华北地区：曹妃甸港：明细（周度）_lag1,factor
ID01516080_lag_1,PB粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）_lag1,factor
ID01514908_lag_1,铁矿石：港口库存：华北地区：天津港：明细（周度）_lag1,factor
ID01515074_lag_1,块矿：中高品位：60%Fe以上：港口库存：长江沿江地区：江阴港：明细（周度）_lag1,factor
ID01517220_lag_1,卡拉加斯粉：港口库存：长江沿江地区：江阴港：明细（周度）_lag1,factor
ID01514961_lag_1,铁矿石：港口库存：15个港口：明细（周度）_lag1,factor
ID01516102_lag_1,超特粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）_lag1,factor
ID01516081_lag_1,巴混（BRBF）：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）_lag1,factor
ID01516882_lag_1,金布巴粉：港口库存：长江沿江地区：江阴港：明细（周度）_lag1,factor
ID00186053_lag_1,铁矿石：进口：库存：鲅鱼圈港（周度）_lag1,inventory
ID01514885_lag_1,铁矿石：港口库存：长江沿江地区：江阴港：明细（周度）_lag1,factor
ID01517120_lag_1,PB粉：港口库存：华东地区：青岛港：明细（周度）_lag1,factor
ID01516542_lag_1,纽曼块：港口库存：华东地区：青岛港：明细（周度）_lag1,factor
ID01515647_lag_1,卡拉拉精粉：港口库存：15个港口：明细（周度）_lag1,factor
M0000271_lag_1,美元指数_lag1,factor
ID01516560_lag_1,PB块：港口库存：华东地区：青岛港：明细（周度）_lag1,factor
ID01514937_lag_1,主流高品巴西粉：港口库存：华北地区：曹妃甸港：明细（周度）_lag1,factor
ID01516871_lag_1,麦克粉：港口库存：长江沿江地区：江阴港：明细（周度）_lag1,factor
ID01517067_lag_1,PB粉：港口库存：华北地区：曹妃甸港：明细（周度）_lag1,factor
ID01514945_lag_1,铁矿石：港口库存：华东地区：日照港：明细（周度）_lag1,factor
M0000070_lag_1,中国：工业增加值：规模以上工业企业：黑色金属冶炼及压延加工业：当月同比_lag1,factor
ID01514919_lag_1,铁矿石：港口库存：华北地区：黄骅港：明细（周度）_lag1,factor
ID00185864_lag_1,铁矿石：巴西联邦共和国产区：库存：曹妃甸港（周度）_lag1,factor
ID00185891_lag_1,铁矿石：巴西联邦共和国产区：库存：青岛港（周度）_lag1,factor
ID01517146_lag_1,巴混（BRBF）：港口库存：15个港口：明细（周度）_lag1,factor
ID00185808_lag_1,铁矿石：澳大利亚联邦产区：库存：江阴港（周度）_lag1,factor
ID00185799_lag_1,铁矿石：澳大利亚联邦产区：库存：曹妃甸港（周度）_lag1,factor
ID01516086_lag_1,纽曼块：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）_lag1,factor
ID01515465_lag_1,铁精粉：港口库存：乌克兰→华东地区：岚山港：明细（周度）_lag1,factor
ID01516155_lag_1,PB块：港口库存：华东地区：贸易商：青岛港：明细（周度）_lag1,factor
ID01517084_lag_1,麦克粉：港口库存：华东地区：青岛港：明细（周度）_lag1,factor
ID01517011_lag_1,超特粉：港口库存：华北地区：曹妃甸港：明细（周度）_lag1,factor
ID01516505_lag_1,PB块：港口库存：华北地区：曹妃甸港：明细（周度）_lag1,factor
ID01207884_lag_1,铁矿石：进口：247家钢铁企业：厂内库存：华中地区：明细（周度）_lag1,factor
ID01515243_lag_1,铁矿石：港口库存：华东地区：贸易商：青岛港：明细（周度）_lag1,factor
ID01515456_lag_1,铁精粉：港口库存：巴西联邦共和国→华东地区：岚山港：明细（周度）_lag1,factor
ID00185795_lag_1,铁矿石：澳大利亚联邦产区：库存：41个港口（周度）_lag1,factor
ID01514913_lag_1,铁矿石：港口库存：华北地区：京唐港：明细（周度）_lag1,factor
ID01516569_lag_1,块矿：港口库存：15个港口：明细（周度）_lag1,factor
ID01516399_lag_1,澳洲块矿：港口库存：长江沿江地区：江阴港：明细（周度）_lag1,factor
ID01516144_lag_1,金布巴粉：港口库存：华东地区：贸易商：青岛港：明细（周度）_lag1,factor
ID00185826_lag_1,铁矿石：澳大利亚联邦产区：库存：青岛港（周度）_lag1,factor
ID01516540_lag_1,澳洲块矿：港口库存：华东地区：青岛港：明细（周度）_lag1,factor
ID01517147_lag_1,粉矿：港口库存：15个港口：明细（周度）_lag1,factor
ID01516075_lag_1,金布巴粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）_lag1,factor
ID01514929_lag_1,铁矿石：港口库存：华北地区：曹妃甸港：明细（周度）_lag1,factor
ID01208155_lag_1,铁矿石：进口：247家钢铁企业：厂内库存：华东地区发货地：明细（周度）_lag1,factor
ID01514898_lag_1,主流高品巴西粉：港口库存：长江沿江地区：江阴港：明细（周度）_lag1,factor
ID00185986_lag_1,烧结用矿粉：进口：库存：唐山市：64家钢铁企业（周度）_lag1,factor
ID01514831_lag_1,铁矿石：港口库存：华东地区：连云港：明细（周度）_lag1,factor
ID01516105_lag_1,印度球团：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）_lag1,factor
ID01517115_lag_1,超特粉：港口库存：15个港口：明细（周度）_lag1,factor
ID01517227_lag_1,卡拉加斯粉：港口库存：15个港口：明细（周度）_lag1,factor
ID01517086_lag_1,金布巴粉：港口库存：华东地区：青岛港：明细（周度）_lag1,factor
ID01515442_lag_1,铁精粉：港口库存：华东地区：岚山港：明细（周度）_lag1,factor
ID00186052_MA3,铁矿石：进口：库存：45个港口（周度）_MA3,inventory
ID00186052_MA5,铁矿石：进口：库存：45个港口（周度）_MA5,inventory
ID00186052_MA7,铁矿石：进口：库存：45个港口（周度）_MA7,inventory
ID00186052_MA14,铁矿石：进口：库存：45个港口（周度）_MA14,inventory
ID00186052_MA30,铁矿石：进口：库存：45个港口（周度）_MA30,inventory
ID00186052_MA60,铁矿石：进口：库存：45个港口（周度）_MA60,inventory
ID00186052_MA90,铁矿石：进口：库存：45个港口（周度）_MA90,inventory
ID00186052_STD7,铁矿石：进口：库存：45个港口（周度）_STD7,inventory
ID00186052_STD14,铁矿石：进口：库存：45个港口（周度）_STD14,inventory
ID00186052_STD30,铁矿石：进口：库存：45个港口（周度）_STD30,inventory
ID00186052_STD60,铁矿石：进口：库存：45个港口（周度）_STD60,inventory
ID00186052_P10_30d,铁矿石：进口：库存：45个港口（周度）_P10_30d,inventory
ID00186052_P90_30d,铁矿石：进口：库存：45个港口（周度）_P90_30d,inventory
ID00186052_Spread_30d,铁矿石：进口：库存：45个港口（周度）_Spread_30d,inventory
ID00186052_P10_60d,铁矿石：进口：库存：45个港口（周度）_P10_60d,inventory
ID00186052_P90_60d,铁矿石：进口：库存：45个港口（周度）_P90_60d,inventory
ID00186052_Spread_60d,铁矿石：进口：库存：45个港口（周度）_Spread_60d,inventory
ID00186052_P10_90d,铁矿石：进口：库存：45个港口（周度）_P10_90d,inventory
ID00186052_P90_90d,铁矿石：进口：库存：45个港口（周度）_P90_90d,inventory
ID00186052_Spread_90d,铁矿石：进口：库存：45个港口（周度）_Spread_90d,inventory
ID00186052_Ratio_MA7,铁矿石：进口：库存：45个港口（周度）_Ratio_MA7,inventory
ID00186052_Ratio_MA30,铁矿石：进口：库存：45个港口（周度）_Ratio_MA30,inventory
ID00186052_MA7_MA30,铁矿石：进口：库存：45个港口（周度）_MA7_MA30,inventory
ID00186052_MOM5,铁矿石：进口：库存：45个港口（周度）_MOM5,inventory
ID00186052_MOM10,铁矿石：进口：库存：45个港口（周度）_MOM10,inventory
ID00186052_MOM20,铁矿石：进口：库存：45个港口（周度）_MOM20,inventory
G0002323_STD7,美国：ISM：制造业PMI_STD7,factor
G0002323_STD14,美国：ISM：制造业PMI_STD14,factor
G0002323_STD30,美国：ISM：制造业PMI_STD30,factor
G0002323_STD60,美国：ISM：制造业PMI_STD60,factor
G0002323_P10_30d,美国：ISM：制造业PMI_P10_30d,factor
G0002323_Spread_30d,美国：ISM：制造业PMI_Spread_30d,factor
G0002323_Spread_60d,美国：ISM：制造业PMI_Spread_60d,factor
G0002323_Ratio_MA7,美国：ISM：制造业PMI_Ratio_MA7,factor
G0002323_Ratio_MA30,美国：ISM：制造业PMI_Ratio_MA30,factor
G0002323_MA7_MA30,美国：ISM：制造业PMI_MA7_MA30,factor
G0002323_MOM5,美国：ISM：制造业PMI_MOM5,factor
G0002323_MOM10,美国：ISM：制造业PMI_MOM10,factor
ID00183109_MA30,247家钢铁企业：高炉开工率：中华人民共和国（周度）_MA30,factor
ID00183109_MA60,247家钢铁企业：高炉开工率：中华人民共和国（周度）_MA60,factor
ID00183109_MA90,247家钢铁企业：高炉开工率：中华人民共和国（周度）_MA90,factor
ID00183109_STD7,247家钢铁企业：高炉开工率：中华人民共和国（周度）_STD7,factor
ID00183109_STD14,247家钢铁企业：高炉开工率：中华人民共和国（周度）_STD14,factor
ID00183109_STD30,247家钢铁企业：高炉开工率：中华人民共和国（周度）_STD30,factor
ID00183109_STD60,247家钢铁企业：高炉开工率：中华人民共和国（周度）_STD60,factor
ID00183109_P10_30d,247家钢铁企业：高炉开工率：中华人民共和国（周度）_P10_30d,factor
ID00183109_Spread_30d,247家钢铁企业：高炉开工率：中华人民共和国（周度）_Spread_30d,factor
ID00183109_P10_90d,247家钢铁企业：高炉开工率：中华人民共和国（周度）_P10_90d,factor
ID00183109_Ratio_MA7,247家钢铁企业：高炉开工率：中华人民共和国（周度）_Ratio_MA7,factor
ID00183109_Ratio_MA30,247家钢铁企业：高炉开工率：中华人民共和国（周度）_Ratio_MA30,factor
ID00183109_MA7_MA30,247家钢铁企业：高炉开工率：中华人民共和国（周度）_MA7_MA30,factor
ID00183109_MOM10,247家钢铁企业：高炉开工率：中华人民共和国（周度）_MOM10,factor
ID00183109_MOM20,247家钢铁企业：高炉开工率：中华人民共和国（周度）_MOM20,factor
ID00183114_MA90,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_MA90,factor
ID00183114_STD7,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_STD7,factor
ID00183114_STD14,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_STD14,factor
ID00183114_STD30,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_STD30,factor
ID00183114_P90_30d,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_P90_30d,factor
ID00183114_Spread_30d,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_Spread_30d,factor
ID00183114_P90_90d,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_P90_90d,factor
ID00183114_Spread_90d,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_Spread_90d,factor
ID00183114_Ratio_MA7,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_Ratio_MA7,factor
ID00183114_Ratio_MA30,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_Ratio_MA30,factor
ID00183114_MA7_MA30,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_MA7_MA30,factor
ID00183114_MOM10,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_MOM10,factor
ID00183114_MOM20,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）_MOM20,factor
ID00185747_MA30,PB粉：产量：力拓集团（季度）_MA30,factor
ID00185747_MA60,PB粉：产量：力拓集团（季度）_MA60,factor
ID00185747_STD30,PB粉：产量：力拓集团（季度）_STD30,factor
ID00185747_P90_60d,PB粉：产量：力拓集团（季度）_P90_60d,factor
ID00185747_P90_90d,PB粉：产量：力拓集团（季度）_P90_90d,factor
ID00185747_Ratio_MA30,PB粉：产量：力拓集团（季度）_Ratio_MA30,factor
ID00185749_Spread_60d,PB粉：销售数量：力拓集团（季度）_Spread_60d,factor
ID00185749_Ratio_MA30,PB粉：销售数量：力拓集团（季度）_Ratio_MA30,factor
ID00185751_MA90,PB块：产量：力拓集团（季度）_MA90,factor
ID00185751_STD14,PB块：产量：力拓集团（季度）_STD14,factor
ID00185751_STD30,PB块：产量：力拓集团（季度）_STD30,factor
ID00185751_STD60,PB块：产量：力拓集团（季度）_STD60,factor
ID00185751_P90_90d,PB块：产量：力拓集团（季度）_P90_90d,factor
ID00185751_MA7_MA30,PB块：产量：力拓集团（季度）_MA7_MA30,factor
ID00185753_MA90,PB块：销售数量：力拓集团（季度）_MA90,factor
ID00185753_STD60,PB块：销售数量：力拓集团（季度）_STD60,factor
ID00185753_Spread_60d,PB块：销售数量：力拓集团（季度）_Spread_60d,factor
ID00185753_Ratio_MA7,PB块：销售数量：力拓集团（季度）_Ratio_MA7,factor
ID00185753_Ratio_MA30,PB块：销售数量：力拓集团（季度）_Ratio_MA30,factor
ID00185861_STD7,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）_STD7,factor
ID00185861_STD14,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）_STD14,factor
ID00185861_STD30,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）_STD30,factor
ID00185861_Spread_30d,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）_Spread_30d,factor
ID00185861_Spread_60d,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）_Spread_60d,factor
ID00185861_Ratio_MA7,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）_Ratio_MA7,factor
ID00185861_Ratio_MA30,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）_Ratio_MA30,factor
ID00185861_MA7_MA30,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）_MA7_MA30,factor
ID00185861_MOM5,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）_MOM5,factor
ID00185861_MOM10,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）_MOM10,factor
ID00185861_MOM20,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）_MOM20,factor
ID00185931_STD7,贸易矿：进口：库存：45个港口（周度）_STD7,factor
ID00185931_STD14,贸易矿：进口：库存：45个港口（周度）_STD14,factor
ID00185931_STD30,贸易矿：进口：库存：45个港口（周度）_STD30,factor
ID00185931_STD60,贸易矿：进口：库存：45个港口（周度）_STD60,factor
ID00185931_Spread_60d,贸易矿：进口：库存：45个港口（周度）_Spread_60d,factor
ID00185931_Spread_90d,贸易矿：进口：库存：45个港口（周度）_Spread_90d,factor
ID00185931_Ratio_MA7,贸易矿：进口：库存：45个港口（周度）_Ratio_MA7,factor
ID00185931_Ratio_MA30,贸易矿：进口：库存：45个港口（周度）_Ratio_MA30,factor
ID00185931_MA7_MA30,贸易矿：进口：库存：45个港口（周度）_MA7_MA30,factor
ID00185931_MOM5,贸易矿：进口：库存：45个港口（周度）_MOM5,factor
ID00185931_MOM10,贸易矿：进口：库存：45个港口（周度）_MOM10,factor
ID00185931_MOM20,贸易矿：进口：库存：45个港口（周度）_MOM20,factor
ID00186098_MA14,铁矿石：进口：日均疏港量合计：31个港口（同口径）（周度）_MA14,factor
ID00186098_MA30,铁矿石：进口：日均疏港量合计：31个港口（同口径）（周度）_MA30,factor
ID00186098_STD7,铁矿石：进口：日均疏港量合计：31个港口（同口径）（周度）_STD7,factor
ID00186098_STD14,铁矿石：进口：日均疏港量合计：31个港口（同口径）（周度）_STD14,factor
ID00186098_STD30,铁矿石：进口：日均疏港量合计：31个港口（同口径）（周度）_STD30,factor
ID00186098_P10_30d,铁矿石：进口：日均疏港量合计：31个港口（同口径）（周度）_P10_30d,factor
ID00186098_Ratio_MA7,铁矿石：进口：日均疏港量合计：31个港口（同口径）（周度）_Ratio_MA7,factor
ID00186098_MOM10,铁矿石：进口：日均疏港量合计：31个港口（同口径）（周度）_MOM10,factor
ID00186099_MA30,铁矿石：进口：日均疏港量合计：41个港口（周度）_MA30,factor
ID00186099_STD7,铁矿石：进口：日均疏港量合计：41个港口（周度）_STD7,factor
ID00186099_STD14,铁矿石：进口：日均疏港量合计：41个港口（周度）_STD14,factor
ID00186099_STD30,铁矿石：进口：日均疏港量合计：41个港口（周度）_STD30,factor
ID00186099_STD60,铁矿石：进口：日均疏港量合计：41个港口（周度）_STD60,factor
ID00186099_P90_30d,铁矿石：进口：日均疏港量合计：41个港口（周度）_P90_30d,factor
ID00186099_Spread_30d,铁矿石：进口：日均疏港量合计：41个港口（周度）_Spread_30d,factor
ID00186099_P10_60d,铁矿石：进口：日均疏港量合计：41个港口（周度）_P10_60d,factor
ID00186099_Spread_60d,铁矿石：进口：日均疏港量合计：41个港口（周度）_Spread_60d,factor
ID00186099_Ratio_MA7,铁矿石：进口：日均疏港量合计：41个港口（周度）_Ratio_MA7,factor
ID00186099_Ratio_MA30,铁矿石：进口：日均疏港量合计：41个港口（周度）_Ratio_MA30,factor
ID00186099_MA7_MA30,铁矿石：进口：日均疏港量合计：41个港口（周度）_MA7_MA30,factor
ID00186100_MA90,铁矿石：进口：日均疏港量合计：45个港口（周度）_MA90,factor
ID00186100_STD7,铁矿石：进口：日均疏港量合计：45个港口（周度）_STD7,factor
ID00186100_STD14,铁矿石：进口：日均疏港量合计：45个港口（周度）_STD14,factor
ID00186100_STD30,铁矿石：进口：日均疏港量合计：45个港口（周度）_STD30,factor
ID00186100_Spread_30d,铁矿石：进口：日均疏港量合计：45个港口（周度）_Spread_30d,factor
ID00186100_Spread_60d,铁矿石：进口：日均疏港量合计：45个港口（周度）_Spread_60d,factor
ID00186100_P10_90d,铁矿石：进口：日均疏港量合计：45个港口（周度）_P10_90d,factor
ID00186100_Spread_90d,铁矿石：进口：日均疏港量合计：45个港口（周度）_Spread_90d,factor
ID00186100_Ratio_MA30,铁矿石：进口：日均疏港量合计：45个港口（周度）_Ratio_MA30,factor
ID00186100_MA7_MA30,铁矿石：进口：日均疏港量合计：45个港口（周度）_MA7_MA30,factor
ID00186100_MOM10,铁矿石：进口：日均疏港量合计：45个港口（周度）_MOM10,factor
ID00186100_MOM20,铁矿石：进口：日均疏港量合计：45个港口（周度）_MOM20,factor
ID00186103_MA14,铁矿石：进口：日均疏港量：曹妃甸港（周度）_MA14,factor
ID00186103_MA30,铁矿石：进口：日均疏港量：曹妃甸港（周度）_MA30,factor
ID00186103_STD7,铁矿石：进口：日均疏港量：曹妃甸港（周度）_STD7,factor
ID00186103_STD14,铁矿石：进口：日均疏港量：曹妃甸港（周度）_STD14,factor
ID00186103_STD30,铁矿石：进口：日均疏港量：曹妃甸港（周度）_STD30,factor
ID00186103_STD60,铁矿石：进口：日均疏港量：曹妃甸港（周度）_STD60,factor
ID00186103_P90_30d,铁矿石：进口：日均疏港量：曹妃甸港（周度）_P90_30d,factor
ID00186103_Spread_30d,铁矿石：进口：日均疏港量：曹妃甸港（周度）_Spread_30d,factor
ID00186103_P10_60d,铁矿石：进口：日均疏港量：曹妃甸港（周度）_P10_60d,factor
ID00186103_P90_60d,铁矿石：进口：日均疏港量：曹妃甸港（周度）_P90_60d,factor
ID00186103_P10_90d,铁矿石：进口：日均疏港量：曹妃甸港（周度）_P10_90d,factor
ID00186103_Spread_90d,铁矿石：进口：日均疏港量：曹妃甸港（周度）_Spread_90d,factor
ID00186103_Ratio_MA7,铁矿石：进口：日均疏港量：曹妃甸港（周度）_Ratio_MA7,factor
ID00186103_Ratio_MA30,铁矿石：进口：日均疏港量：曹妃甸港（周度）_Ratio_MA30,factor
ID00186103_MA7_MA30,铁矿石：进口：日均疏港量：曹妃甸港（周度）_MA7_MA30,factor
ID00186103_MOM5,铁矿石：进口：日均疏港量：曹妃甸港（周度）_MOM5,factor
ID00186103_MOM10,铁矿石：进口：日均疏港量：曹妃甸港（周度）_MOM10,factor
ID00186103_MOM20,铁矿石：进口：日均疏港量：曹妃甸港（周度）_MOM20,factor
ID00186111_MA14,铁矿石：进口：日均疏港量：黄骅港（周度）_MA14,factor
ID00186111_MA60,铁矿石：进口：日均疏港量：黄骅港（周度）_MA60,factor
ID00186111_STD7,铁矿石：进口：日均疏港量：黄骅港（周度）_STD7,factor
ID00186111_STD14,铁矿石：进口：日均疏港量：黄骅港（周度）_STD14,factor
ID00186111_STD60,铁矿石：进口：日均疏港量：黄骅港（周度）_STD60,factor
ID00186111_P10_30d,铁矿石：进口：日均疏港量：黄骅港（周度）_P10_30d,factor
ID00186111_Spread_90d,铁矿石：进口：日均疏港量：黄骅港（周度）_Spread_90d,factor
ID00186111_Ratio_MA7,铁矿石：进口：日均疏港量：黄骅港（周度）_Ratio_MA7,factor
ID00186111_Ratio_MA30,铁矿石：进口：日均疏港量：黄骅港（周度）_Ratio_MA30,factor
ID00186111_MA7_MA30,铁矿石：进口：日均疏港量：黄骅港（周度）_MA7_MA30,factor
ID00186111_MOM5,铁矿石：进口：日均疏港量：黄骅港（周度）_MOM5,factor
ID00186111_MOM10,铁矿石：进口：日均疏港量：黄骅港（周度）_MOM10,factor
ID00186111_MOM20,铁矿石：进口：日均疏港量：黄骅港（周度）_MOM20,factor
