列ID,列名,分组,有效样本数
ID01205075,FMG块矿：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）,供应-到港,2669
ID01205076,PB粉：到港量：曹妃甸港：力拓集团：明细（周度）,供应-到港,2660
ID01205336,金布巴粉：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）,标的(Y变量),2181
ID01205343,麦克粉：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）,标的(Y变量),2176
ID01205344,纽曼粉：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）,标的(Y变量),2181
ID01205346,超特粉：到港量：45个港口：福蒂斯丘金属集团：明细（周度）,标的(Y变量),2181
ID01205370,纽曼块：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）,标的(Y变量),2178
ID01205387,PB粉：到港量：45个港口：力拓集团：明细（周度）,标的(Y变量),2181
ID01205397,PB块：到港量：45个港口：力拓集团：明细（周度）,标的(Y变量),2182
ID01205398,CSN粗粉：到港量：45个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度）,标的(Y变量),2181
ID01205399,CSN精粉：到港量：45个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度）,标的(Y变量),2178
ID01512787,铁矿石：进口：日均疏港量合计：47个港口（周度）,需求-疏港,1593
ID01515972,FMG混合粉：港口库存：长江沿江地区：贸易商：江阴港：明细（周度）,标的(Y变量),3242
ID01516098,FMG混合粉：港口库存：华北地区：贸易商：曹妃甸港：明细（周度）,标的(Y变量),3210
ID01516175,FMG混合粉：港口库存：华东地区：贸易商：青岛港：明细（周度）,标的(Y变量),3207
ID01516886,FMG混合粉：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),3208
ID01517032,FMG混合粉：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),3214
ID01517108,FMG混合粉：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),3216
ID01517134,FMG混合粉：港口库存：15个港口：明细（周度）,标的(Y变量),3222
ID01562367,纽曼块：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）,供应-到港,1938
ID01562375,金布巴粉：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）,供应-到港,1939
ID01562377,纽曼粉：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）,供应-到港,1939
ID01562379,麦克粉：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）,供应-到港,1936
ID01562396,PB块：到港量：47个港口：力拓集团：明细（周度）,供应-到港,1941
ID01562397,PB粉：到港量：47个港口：力拓集团：明细（周度）,供应-到港,1940
ID01562398,卡拉加斯粉：到港量：47个港口：巴西淡水河谷公司：明细（周度）,供应-到港,1934
ID02017485,铁矿石：进口：日均疏港量：长江沿江地区：45个港口（周度）,标的(Y变量),3756
ID02017503,铁矿石：进口：日均疏港量：华北地区：45个港口（周度）,标的(Y变量),3748
ID02017509,铁矿石：进口：日均疏港量：华南地区：45个港口（周度）,标的(Y变量),3756
ID02017513,铁矿石：进口：日均疏港量：华东地区：45个港口（周度）,标的(Y变量),3752
ID02017521,铁矿石：进口：日均疏港量：长江沿江地区：41个港口（周度）,需求-疏港,3756
ID02017522,铁矿石：进口：日均疏港量：东北地区：45个港口（周度）,标的(Y变量),3757
ID02017530,铁矿石：进口：日均疏港量：华南地区：41个港口（周度）,需求-疏港,3756
ID02017548,铁矿石：进口：日均疏港量：华东地区：41个港口（周度）,需求-疏港,3752
ID02017551,铁矿石：进口：日均疏港量：华北地区：41个港口（周度）,需求-疏港,3748
ID02017554,铁矿石：进口：日均疏港量：东北地区：41个港口（周度）,需求-疏港,3757
ID02017568,铁矿石：进口：日均疏港量：长江沿江地区：31个港口（周度）,需求-疏港,3749
ID02017574,铁矿石：进口：日均疏港量：华北地区：31个港口（周度）,需求-疏港,3742
ID02017581,铁矿石：进口：日均疏港量：华东地区：31个港口（周度）,需求-疏港,3755
ID02017587,铁矿石：进口：日均疏港量：华南地区：31个港口（周度）,需求-疏港,3755
ID02017594,铁矿石：进口：日均疏港量：东北地区：31个港口（周度）,需求-疏港,3757
ID02226562,CSN块：到港量：45个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度）,标的(Y变量),188
ID02338936,粉矿：压港量：45个港口：明细（周度）,标的(Y变量),1211
ID02338942,块矿：压港量：45个港口：明细（周度）,标的(Y变量),1206
ID02338946,铁精粉：62%Fe以上：压港量：45个港口：明细（周度）,标的(Y变量),1208
ID02338956,球团矿：62%Fe以上：压港量：45个港口：明细（周度）,标的(Y变量),1211
ID02339469,大杨迪粉：压港量：45个港口：力拓集团：明细（周度）,标的(Y变量),1204
ID02339576,金布巴粉：压港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,1206
ID02339577,麦克粉：压港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,1207
ID02339580,FMG混合粉：压港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）,供应-矿山,1209
ID02339582,纽曼粉：压港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,1210
ID02339599,PB粉：压港量：曹妃甸港：力拓集团：明细（周度）,供应-矿山,1208
ID02339602,PB块：压港量：曹妃甸港：力拓集团：明细（周度）,供应-矿山,1207
ID02339619,卡拉加斯粉：压港量：曹妃甸港：巴西淡水河谷公司：明细（周度）,供应-矿山,1210
ID02339970,金布巴粉：压港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,1204
